id,title,info
1,三国历史,三国（220年－280年）是中国东汉与西晋之间的一段历史时期，主要有曹魏、蜀汉、东吴三个政权。赤壁之战中曹操被孙刘联军击败，形成三国鼎立的雏型。220年，曹丕篡汉称帝，国号“魏”，史称曹魏，三国历史正式开始。次年刘备在成都接续汉朝，史称蜀汉。229年孙权称帝，国号“吴”，史称东吴，至此三国正式鼎立。
2,系统简介,三国历史知识庞大而复杂。如何帮助用户更有效地学习三国历史是一个巨大挑战。该系统是CADAL文学编年史组基于三国历史文化资料，运用文本分析技术和数据可视化技术开发的交互式图谱。文本分析工作集中于基于维基百科对三国人物关系进行分析提取，并对历史资料进行分类整理；设计多种可视化形式全面清晰呈现知识；使用数据可视化工具processing实现可视化图谱及其交互。
3,系统框架,三国历史知识主要被分为三类：战争、地理、人物。《三国演义》共120章，被分为4个历史阶段，又细分为14场主要战争。在战争模式，用户可以通过标签云、文字介绍、势力分布地图等多种形式进一步了解战争的各个阶段信息；三国时期共14个州，CKGHV全面呈现了现代位置、州内郡县等信息；我们选取了5个势力的16位代表性人物，并用生平时间线、人物关系图、行踪图全面展现了三国人物的信息。
