ID,地名,地理坐标x,地理坐标y,事件,事件2,时间,所属州
1,河东,285,185,出生,关羽的出生地解县是出产盐的盛地。因此他早年是运盐队的护卫。后来，关羽因犯事逃离家乡。,160,12
2,涿郡,333,111,追随刘备,184年，刘备在涿郡组织起义勇军扑灭黄巾军，关羽张飞同在其中。后来结义为兄弟，关羽不辞劳苦随身守护刘备。,184,5
3,下邳,334,191,投奔曹操,后刘备领徐州被袁术吕布夹攻，刘备关羽投奔曹操。在下邳围攻吕布。后袁术投奔袁绍，刘备命关羽守下邳领徐州。,198,11
4,白马,298,182,官渡之战,曹操进攻刘备，关羽被生擒，被曹任为偏将军，参战官渡，斩杀颜良。,200,2
5,汝南,310,217,千里走单骑,关羽听闻刘备消息，便离开曹操。曹操尽力挽留无果，感叹关羽义气。,200,1
6,襄阳,284,241,镇守荆州,孙刘联盟于赤壁击败曹操后，关羽受封襄阳太守，镇守荆州。,215,9
7,樊城,271,217,威震华夏,关羽进攻荆州北部樊城。水淹于禁七军。庞德于禁被关羽俘虏。关羽威震华夏。,219,9
8,麦城,229,266,败走麦城,曹操与孙权暗中结盟，出兵攻击关羽。吕蒙陆逊遂次攻陷荆州各地。徐晃击败关羽军队，关羽军渐渐溃散，退至西部麦城。220年，关羽伪降，借机出逃，后被伏兵擒杀。,220,9
