人名,所属,词频,关系,x,y,,,,,,,,,,,,,,,,,,,,,,
dengai,5,8,0,1,45,邓艾,,,,,,,,,,,,,,,,,,,,,
jiangwei,1,7,-45,345,363,姜维,防备,抵御,段谷之战,不战而胜,纠缠,据险据守,强攻难克,2,2,3,1,2,1,2,-7,-6,0,-7,-7,-5,-8
guohuai,5,1,6,228,478,郭淮,同僚,3,8,,,,,,,,,,,,,,,,,,
liaohua,1,2,-8,98,359,廖化,对峙,曲城之战,3,3,-8,0,,,,,,,,,,,,,,,
liushan,1,2,-3,55,167,刘禅,逼使投降,投降,1,2,-8,-8,,,,,,,,,,,,,,,
simayi,5,2,13,235,105,司马懿,赏识,提拔,2,2,6,7,,,,,,,,,,,,,,,
simazhao,5,3,1,463,40,司马昭,派,命,疑忌,2,2,2,0,0,-7,,,,,,,,,,,,
zhugezhan,1,1,-10,460,275,诸葛瞻,战死,2,-10,,,,,,,,,,,,,,,,,,
